fecha,dia_semana,subcategoria,venta_total
2023-03-04,sábado,Verdura,3648
2023-03-04,sábado,"Lechuga y ensalada preparada",1098
2023-03-04,sábado,Fruta,1877
2023-03-06,lunes,Verdura,2021
2023-03-06,lunes,"Lechuga y ensalada preparada",846
2023-03-06,lunes,Fruta,1156
2023-03-07,martes,Verdura,1283
2023-03-07,martes,"Lechuga y ensalada preparada",580
2023-03-07,martes,Fruta,694
2023-03-08,miércoles,Verdura,1574
2023-03-08,miércoles,"Lechuga y ensalada preparada",493
2023-03-08,miércoles,Fruta,890
2023-03-09,jueves,Verdura,1295
2023-03-09,jueves,"Lechuga y ensalada preparada",547
2023-03-09,jueves,Fruta,719
2023-03-10,viernes,Verdura,2412
2023-03-10,viernes,"Lechuga y ensalada preparada",905
2023-03-10,viernes,Fruta,1296
2023-03-11,sábado,Verdura,3251
2023-03-11,sábado,"Lechuga y ensalada preparada",1392
2023-03-11,sábado,Fruta,2025
2023-03-13,lunes,Verdura,2250
2023-03-13,lunes,"Lechuga y ensalada preparada",852
2023-03-13,lunes,Fruta,1217
2023-03-14,martes,Verdura,1329
2023-03-14,martes,"Lechuga y ensalada preparada",428
2023-03-14,martes,Fruta,663
2023-03-15,miércoles,Verdura,1808
2023-03-15,miércoles,"Lechuga y ensalada preparada",566
2023-03-15,miércoles,Fruta,879
2023-03-16,jueves,Verdura,1369
2023-03-16,jueves,"Lechuga y ensalada preparada",553
2023-03-16,jueves,Fruta,753
2023-03-17,viernes,Verdura,2390
2023-03-17,viernes,"Lechuga y ensalada preparada",941
2023-03-17,viernes,Fruta,1511
2023-03-18,sábado,Verdura,3092
2023-03-18,sábado,"Lechuga y ensalada preparada",1044
2023-03-18,sábado,Fruta,1733
2023-03-20,lunes,Verdura,2321
2023-03-20,lunes,"Lechuga y ensalada preparada",606
2023-03-20,lunes,Fruta,1085
2023-03-21,martes,Verdura,1382
2023-03-21,martes,"Lechuga y ensalada preparada",446
2023-03-21,martes,Fruta,771
2023-03-22,miércoles,Verdura,1502
2023-03-22,miércoles,"Lechuga y ensalada preparada",452
2023-03-22,miércoles,Fruta,834
2023-03-23,jueves,Verdura,1279
2023-03-23,jueves,"Lechuga y ensalada preparada",520
2023-03-23,jueves,Fruta,807
2023-03-24,viernes,Verdura,2328
2023-03-24,viernes,"Lechuga y ensalada preparada",939
2023-03-24,viernes,Fruta,1436
2023-03-25,sábado,Verdura,3025
2023-03-25,sábado,"Lechuga y ensalada preparada",1169
2023-03-25,sábado,Fruta,1993
2023-03-27,lunes,Verdura,2158
2023-03-27,lunes,"Lechuga y ensalada preparada",923
2023-03-27,lunes,Fruta,1180
2023-03-28,martes,Verdura,1409
2023-03-28,martes,"Lechuga y ensalada preparada",566
2023-03-28,martes,Fruta,696
2023-03-29,miércoles,Verdura,1760
2023-03-29,miércoles,"Lechuga y ensalada preparada",546
2023-03-29,miércoles,Fruta,835
2023-03-30,jueves,Verdura,1429
2023-03-30,jueves,"Lechuga y ensalada preparada",466
2023-03-30,jueves,Fruta,849
2023-03-31,viernes,Verdura,2457
2023-03-31,viernes,"Lechuga y ensalada preparada",850
2023-03-31,viernes,Fruta,1454
2023-04-01,sábado,Verdura,3353
2023-04-01,sábado,"Lechuga y ensalada preparada",1259
2023-04-01,sábado,Fruta,1849
2023-04-03,lunes,Verdura,2126
2023-04-03,lunes,"Lechuga y ensalada preparada",684
2023-04-03,lunes,Fruta,1115
2023-04-04,martes,Verdura,1371
2023-04-04,martes,"Lechuga y ensalada preparada",440
2023-04-04,martes,Fruta,811
2023-04-05,miércoles,Verdura,1613
2023-04-05,miércoles,"Lechuga y ensalada preparada",535
2023-04-05,miércoles,Fruta,825
2023-04-08,sábado,Verdura,3564
2023-04-08,sábado,"Lechuga y ensalada preparada",1255
2023-04-08,sábado,Fruta,1830
2023-04-10,lunes,Verdura,2038
2023-04-10,lunes,"Lechuga y ensalada preparada",583
2023-04-10,lunes,Fruta,1121
2023-04-11,martes,Verdura,1360
2023-04-11,martes,"Lechuga y ensalada preparada",503
2023-04-11,martes,Fruta,840
2023-04-12,miércoles,Verdura,1558
2023-04-12,miércoles,"Lechuga y ensalada preparada",612
2023-04-12,miércoles,Fruta,858
2023-04-13,jueves,Verdura,1378
2023-04-13,jueves,"Lechuga y ensalada preparada",486
2023-04-13,jueves,Fruta,781
2023-04-14,viernes,Verdura,2660
2023-04-14,viernes,"Lechuga y ensalada preparada",907
2023-04-14,viernes,Fruta,1237
2023-04-15,sábado,Verdura,3395
2023-04-15,sábado,"Lechuga y ensalada preparada",1068
2023-04-15,sábado,Fruta,1798
2023-04-17,lunes,Verdura,2197
2023-04-17,lunes,"Lechuga y ensalada preparada",776
2023-04-17,lunes,Fruta,1190
2023-04-18,martes,Verdura,1424
2023-04-18,martes,"Lechuga y ensalada preparada",514
2023-04-18,martes,Fruta,800
2023-04-19,miércoles,Verdura,1677
2023-04-19,miércoles,"Lechuga y ensalada preparada",621
2023-04-19,miércoles,Fruta,861
2023-04-20,jueves,Verdura,1399
2023-04-20,jueves,"Lechuga y ensalada preparada",412
2023-04-20,jueves,Fruta,693
2023-04-21,viernes,Verdura,3036
2023-04-21,viernes,"Lechuga y ensalada preparada",876
2023-04-21,viernes,Fruta,1230
2023-04-22,sábado,Verdura,3371
2023-04-22,sábado,"Lechuga y ensalada preparada",1333
2023-04-22,sábado,Fruta,1769
2023-04-24,lunes,Verdura,2136
2023-04-24,lunes,"Lechuga y ensalada preparada",974
2023-04-24,lunes,Fruta,1147
2023-04-25,martes,Verdura,1297
2023-04-25,martes,"Lechuga y ensalada preparada",525
2023-04-25,martes,Fruta,694
2023-04-26,miércoles,Verdura,1565
2023-04-26,miércoles,"Lechuga y ensalada preparada",562
2023-04-26,miércoles,Fruta,859
2023-04-27,jueves,Verdura,1554
2023-04-27,jueves,"Lechuga y ensalada preparada",544
2023-04-27,jueves,Fruta,714
2023-04-28,viernes,Verdura,2675
2023-04-28,viernes,"Lechuga y ensalada preparada",942
2023-04-28,viernes,Fruta,1395
2023-04-29,sábado,Verdura,3747
2023-04-29,sábado,"Lechuga y ensalada preparada",1182
2023-04-29,sábado,Fruta,1806
2023-05-02,martes,Verdura,1327
2023-05-02,martes,"Lechuga y ensalada preparada",476
2023-05-02,martes,Fruta,658
2023-05-03,miércoles,Verdura,1545
2023-05-03,miércoles,"Lechuga y ensalada preparada",531
2023-05-03,miércoles,Fruta,964
2023-05-04,jueves,Verdura,1443
2023-05-04,jueves,"Lechuga y ensalada preparada",488
2023-05-04,jueves,Fruta,691
2023-05-05,viernes,Verdura,2668
2023-05-05,viernes,"Lechuga y ensalada preparada",1032
2023-05-05,viernes,Fruta,1301
2023-05-06,sábado,Verdura,3189
2023-05-06,sábado,"Lechuga y ensalada preparada",1326
2023-05-06,sábado,Fruta,1878
2023-05-08,lunes,Verdura,2004
2023-05-08,lunes,"Lechuga y ensalada preparada",694
2023-05-08,lunes,Fruta,1173
2023-05-09,martes,Verdura,1381
2023-05-09,martes,"Lechuga y ensalada preparada",461
2023-05-09,martes,Fruta,841
2023-05-10,miércoles,Verdura,1543
2023-05-10,miércoles,"Lechuga y ensalada preparada",531
2023-05-10,miércoles,Fruta,828
2023-05-11,jueves,Verdura,1471
2023-05-11,jueves,"Lechuga y ensalada preparada",427
2023-05-11,jueves,Fruta,939
2023-05-12,viernes,Verdura,2538
2023-05-12,viernes,"Lechuga y ensalada preparada",1064
2023-05-12,viernes,Fruta,1369
2023-05-13,sábado,Verdura,3321
2023-05-13,sábado,"Lechuga y ensalada preparada",1114
2023-05-13,sábado,Fruta,1888
2023-05-15,lunes,Verdura,1915
2023-05-15,lunes,"Lechuga y ensalada preparada",898
2023-05-15,lunes,Fruta,1181
2023-05-16,martes,Verdura,1370
2023-05-16,martes,"Lechuga y ensalada preparada",479
2023-05-16,martes,Fruta,733
2023-05-17,miércoles,Verdura,1526
2023-05-17,miércoles,"Lechuga y ensalada preparada",522
2023-05-17,miércoles,Fruta,807
2023-05-18,jueves,Verdura,1593
2023-05-18,jueves,"Lechuga y ensalada preparada",504
2023-05-18,jueves,Fruta,824
2023-05-19,viernes,Verdura,2408
2023-05-19,viernes,"Lechuga y ensalada preparada",828
2023-05-19,viernes,Fruta,1291
2023-05-20,sábado,Verdura,3406
2023-05-20,sábado,"Lechuga y ensalada preparada",1155
2023-05-20,sábado,Fruta,1819
2023-05-22,lunes,Verdura,2180
2023-05-22,lunes,"Lechuga y ensalada preparada",701
2023-05-22,lunes,Fruta,1139
2023-05-23,martes,Verdura,1425
2023-05-23,martes,"Lechuga y ensalada preparada",442
2023-05-23,martes,Fruta,812
2023-05-24,miércoles,Verdura,1673
2023-05-24,miércoles,"Lechuga y ensalada preparada",620
2023-05-24,miércoles,Fruta,933
2023-05-25,jueves,Verdura,1454
2023-05-25,jueves,"Lechuga y ensalada preparada",488
2023-05-25,jueves,Fruta,650
2023-05-26,viernes,Verdura,2640
2023-05-26,viernes,"Lechuga y ensalada preparada",958
2023-05-26,viernes,Fruta,1397
2023-05-27,sábado,Verdura,3406
2023-05-27,sábado,"Lechuga y ensalada preparada",1084
2023-05-27,sábado,Fruta,1844
2023-05-29,lunes,Verdura,2215
2023-05-29,lunes,"Lechuga y ensalada preparada",819
2023-05-29,lunes,Fruta,1204
2023-05-30,martes,Verdura,1347
2023-05-30,martes,"Lechuga y ensalada preparada",397
2023-05-30,martes,Fruta,720
