fecha,dia,subcategoria,venta_total
2023-05-04,jueves,"Lechuga y ensalada preparada",385
2023-05-05,viernes,"Lechuga y ensalada preparada",684
2023-05-06,sábado,"Lechuga y ensalada preparada",1212
2023-05-08,lunes,"Lechuga y ensalada preparada",679
2023-05-09,martes,"Lechuga y ensalada preparada",499
2023-05-10,miércoles,"Lechuga y ensalada preparada",628
2023-05-11,jueves,"Lechuga y ensalada preparada",494
2023-05-12,viernes,"Lechuga y ensalada preparada",921
2023-05-13,sábado,"Lechuga y ensalada preparada",1134
2023-05-15,lunes,"Lechuga y ensalada preparada",595
2023-05-16,martes,"Lechuga y ensalada preparada",514
2023-05-17,miércoles,"Lechuga y ensalada preparada",559
2023-05-18,jueves,"Lechuga y ensalada preparada",509
2023-05-19,viernes,"Lechuga y ensalada preparada",870
2023-05-20,sábado,"Lechuga y ensalada preparada",1037
2023-05-22,lunes,"Lechuga y ensalada preparada",665
2023-05-23,martes,"Lechuga y ensalada preparada",535
2023-05-24,miércoles,"Lechuga y ensalada preparada",559
2023-05-25,jueves,"Lechuga y ensalada preparada",507
2023-05-26,viernes,"Lechuga y ensalada preparada",929
2023-05-27,sábado,"Lechuga y ensalada preparada",1053
2023-05-29,lunes,"Lechuga y ensalada preparada",710
2023-05-30,martes,"Lechuga y ensalada preparada",584
2023-05-31,miércoles,"Lechuga y ensalada preparada",575
